Age,Gender,Occupation,What is your monthly income?,Which of the following brands of sportswear do you prefer?,Why do you choose the brand over others?,What type of products do you buy most often?,How much money do you usually spend on the brands selected?,What colour do you usually prefer to buy?,How often do you buy sportswear?,What is the purpose of your activewear?,Will you repurchase if the price of the products you purchased have increases?,Are you loyal to the same brand of sportswear when purchasing?,"Does the ""brand image"" affect your buying decision?",Does the brand ambassador affect your buying decision?,What do you consider the most influential motive when you purchase a sports clothing item?,What factors influenced you to switch brands?,Where do you usually buy sportswear?,Where do you seek information considering available offers of sportswear?,adjusted_age
34,Female,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
34,Female,Employee,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
34,Female,Self-employed,RM 2501 - RM 4849,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
28,Female,Self-employed,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
28,Female,Self-employed,RM 2501 - RM 4849,Nike,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
26,Female,Self-employed,RM 2501 - RM 4849,Nike,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
29,Male,Self-employed,RM 4850 - RM 10959,Adidas,Affordable,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,21-30
19,Male,Student,Below RM 2500,Adidas,Stylish,T-shirts,RM 0 - RM 249,Dark colour - Black / Grey / Brown / etc,Once per year,Walking,No,No,No,No,Price,Design,Always in regular shops,Internet forums / Discussion groups,15-20
45,Male,Employee,RM 4850 - RM 10959,Asics,Quality,T-shirts,RM 250 - RM 499,Both accepted,Several times per month,Running,No,No,Yes,No,Comfy,Quality,Always in regular shops,Websites of producers,41-50
37,Male,Employee,RM 10960 - RM 15039,Nike,Affordable,Sport Shoes,RM 500 - RM 749,Both accepted,Once every 6 months,Walking,No,No,Yes,Yes,Fashionable,Promotions,As often in regular shops as on the Internet,Websites of producers,31-40
20,Male,Student,Below RM 2500,Adidas,Profile,Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Walking,Yes,Yes,No,No,Fashionable,Design,As often in regular shops as on the Internet,From friends or family,15-20
27,Male,Employee,RM 2501 - RM 4849,Nike,Quality,Shorts,RM 0 - RM 249,Dark colour - Black / Grey / Brown / etc,Once per year,Walking,No,No,Yes,Yes,Comfy,Promotions,"Usually in regular shops, occasionally on the Internet",Websites of producers,21-30
52,Male,Employee,RM 10960 - RM 15039,Asics,Affordable,T-shirts,RM 0 - RM 249,Both accepted,Once per year,Gym,No,No,Yes,No,Flexibility,Promotions,Always in regular shops,Internet forums / Discussion groups,Above 50
